Name;Lat;Lon;Url
DZA_AR_Adrar-Belkebir.AP.606200_TMYx.zip;27.84;-0.19;http://climate.onebuilding.org/WMO_Region_1_Africa/DZA_Algeria/AR_Adrar/DZA_AR_Adrar-Belkebir.AP.606200_TMYx.zip
CAN_BC_Fort.St.John-North.Peace.Rgnl.AP.719430_TDY-CWEC2020v2.zip;56.24;-120.74;http://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Fort.St.John-North.Peace.Rgnl.AP.719430_TDY-CWEC2020v2.zip
DZA_AR_Ouallen.606750_TMYx.2007-2021.zip;24.38;1;http://climate.onebuilding.org/WMO_Region_1_Africa/DZA_Algeria/AR_Adrar/DZA_AR_Ouallen.606750_TMYx.2007-2021.zip
CAN_BC_Puntzi.Mountain.AP.710500_TMYx.2007-2021.zip;52.10;-124.13;http://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Puntzi.Mountain.AP.710500_TMYx.2007-2021.zip
DZA_AR_Timimoun.AP.606070_TMYx.2004-2018.zip;29.24;0.28;http://climate.onebuilding.org/WMO_Region_1_Africa/DZA_Algeria/AR_Adrar/DZA_AR_Timimoun.AP.606070_TMYx.2004-2018.zip
CAN_BC_Whistler.Nesters.716870_CWEC2020.zip;50.13;-122.95;http://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Whistler.Nesters.716870_CWEC2020.zip
DZA_AR_Aoulef.606250_TMYx.zip;26.97;1.08;http://climate.onebuilding.org/WMO_Region_1_Africa/DZA_Algeria/AR_Adrar/DZA_AR_Aoulef.606250_TMYx.zip
CAN_BC_Fort.St.John-North.Peace.Rgnl.AP.719430_TMYx.2004-2018.zip;56.24;-120.74;http://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Fort.St.John-North.Peace.Rgnl.AP.719430_TMYx.2004-2018.zip
DZA_AR_Ouallen.606750_TMYx.zip;24.38;1;http://climate.onebuilding.org/WMO_Region_1_Africa/DZA_Algeria/AR_Adrar/DZA_AR_Ouallen.606750_TMYx.zip
CAN_BC_Puntzi.Mountain.AP.710500_TMYx.zip;52.10;-124.13;http://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/BC_British_Columbia/CAN_BC_Puntzi.Mountain.AP.710500_TMYx.zip
